;LIGA;UNIDADES;GREEN;RED;TIPS TOTAL;;;;;;;;;;;;;;;;;;;;
0;Algerian Ligue 1;-0,27;53;38;91;;;;;;;;;;;;;;;;;;;;
1;Argentinian Primera B Nacional;9,35;52;37;89;;;;;;;;;;;;;;;;;;;;
2;Austrian Bundesliga;-3,31;15;14;29;;;;;;;;;;;;;;;;;;;;
3;Austrian Erste Liga;-1,50;20;16;36;;;;;;;;;;;;;;;;;;;;
4;Azerbaijan Premier League;1,50;10;6;16;;;;;;;;;;;;;;;;;;;;
5;Bahraini Premier;1,00;14;9;23;;;;;;;;;;;;;;;;;;;;
6;Bangladesh Premier League;-0,49;14;10;24;;;;;;;;;;;;;;;;;;;;
7;Belarus Premier League;1,65;4;1;5;;;;;;;;;;;;;;;;;;;;
8;Belgian First Division A;5,68;48;27;75;;;;;;;;;;;;;;;;;;;;
9;Bolivian Liga de Futbol Profesional;-2,42;42;32;74;;;;;;;;;;;;;;;;;;;;
10;Bosnian Premier League;-0,27;16;11;27;;;;;;;;;;;;;;;;;;;;
11;Brazilian Serie A;6,92;39;22;61;;;;;;;;;;;;;;;;;;;;
12;Brazilian Serie C;3,95;11;6;17;;;;;;;;;;;;;;;;;;;;
13;Brazilian Serie D;-2,76;11;11;22;;;;;;;;;;;;;;;;;;;;
14;Brazilian U20;6,80;19;7;26;;;;;;;;;;;;;;;;;;;;
15;Bulgarian A League;13,05;31;9;40;;;;;;;;;;;;;;;;;;;;
16;Chilean Primera B;1,05;22;18;40;;;;;;;;;;;;;;;;;;;;
17;Chilean Primera Division;-4,03;23;22;45;;;;;;;;;;;;;;;;;;;;
18;Chinese Super League;-1,93;8;8;16;;;;;;;;;;;;;;;;;;;;
19;Colombian Primera A;0,65;61;43;104;;;;;;;;;;;;;;;;;;;;
20;Costa Rican Liga de Ascenso;0,06;3;3;6;;;;;;;;;;;;;;;;;;;;
21;Costa Rican Primera Division;0,70;33;24;57;;;;;;;;;;;;;;;;;;;;
22;Croatian 2 HNL;18,43;38;13;51;;;;;;;;;;;;;;;;;;;;
23;Czech 2 Liga;0,18;26;20;46;;;;;;;;;;;;;;;;;;;;
24;Danish 1st Division;-1,77;15;13;28;;;;;;;;;;;;;;;;;;;;
25;Danish 2nd Division;-1,54;1;2;3;;;;;;;;;;;;;;;;;;;;
26;Danish Superliga;0,76;20;15;35;;;;;;;;;;;;;;;;;;;;
27;Egyptian 2nd Division;1,57;53;40;93;;;;;;;;;;;;;;;;;;;;
28;Egyptian Premier;6,01;19;9;28;;;;;;;;;;;;;;;;;;;;
29;English Isthmian Premier League;-1,07;22;18;40;;;;;;;;;;;;;;;;;;;;
30;English League 1;8,54;91;57;148;;;;;;;;;;;;;;;;;;;;
31;English League 2;7,57;79;58;137;;;;;;;;;;;;;;;;;;;;
32;English National League;1,70;64;40;104;;;;;;;;;;;;;;;;;;;;
33;English National League North;5,63;73;52;125;;;;;;;;;;;;;;;;;;;;
34;English Premier League;-3,26;45;36;81;;;;;;;;;;;;;;;;;;;;
35;Estonian Esiliiga;-0,50;10;7;17;;;;;;;;;;;;;;;;;;;;
36;Estonian Premier League;-0,35;8;6;14;;;;;;;;;;;;;;;;;;;;
37;Finnish Veikkausliiga;6,68;10;1;11;;;;;;;;;;;;;;;;;;;;
38;Finnish Ykkonen;0,10;3;2;5;;;;;;;;;;;;;;;;;;;;
39;French Ligue 2;8,03;49;32;81;;;;;;;;;;;;;;;;;;;;
40;French National;-1,45;41;33;74;;;;;;;;;;;;;;;;;;;;
41;German 3 Liga;9,87;42;25;67;;;;;;;;;;;;;;;;;;;;
42;German Regionalliga North;-1,96;9;8;17;;;;;;;;;;;;;;;;;;;;
43;Greece Super League 1;-1,74;38;29;67;;;;;;;;;;;;;;;;;;;;
44;Hungarian NB I;3,83;25;16;41;;;;;;;;;;;;;;;;;;;;
45;Hungarian NB II;-4,02;26;24;50;;;;;;;;;;;;;;;;;;;;
46;Icelandic Urvalsdeild;3,64;6;1;7;;;;;;;;;;;;;;;;;;;;
47;Indian Super League;-1,99;5;6;11;;;;;;;;;;;;;;;;;;;;
48;Indonesian Liga 1;-3,73;36;28;64;;;;;;;;;;;;;;;;;;;;
49;Indonesian Liga 2;-3,00;10;10;20;;;;;;;;;;;;;;;;;;;;
50;Irish Division 1;-2,13;10;9;19;;;;;;;;;;;;;;;;;;;;
51;Irish Premier Division;1,27;17;10;27;;;;;;;;;;;;;;;;;;;;
52;Israeli Premier League;-3,41;21;19;40;;;;;;;;;;;;;;;;;;;;
53;Italian Serie A (W);-1,00;0;1;1;;;;;;;;;;;;;;;;;;;;
54;Japanese J League 2;3,03;31;22;53;;;;;;;;;;;;;;;;;;;;
55;Japanese J League 3;14,40;21;3;24;;;;;;;;;;;;;;;;;;;;
56;Latvian Virsliga;0,58;4;2;6;;;;;;;;;;;;;;;;;;;;
57;Malaysian Super League;0,86;7;5;12;;;;;;;;;;;;;;;;;;;;
58;Maltese 1st Division;-0,41;1;1;2;;;;;;;;;;;;;;;;;;;;
59;Maltese Premier League;-4,56;15;16;31;;;;;;;;;;;;;;;;;;;;
60;Mexican Segunda Division;-4,28;30;27;57;;;;;;;;;;;;;;;;;;;;
61;Moroccan Botola 2;2,26;4;1;5;;;;;;;;;;;;;;;;;;;;
62;Moroccan Botola Pro 1;1,90;18;12;30;;;;;;;;;;;;;;;;;;;;
63;Northern Irish Championship;2,70;7;3;10;;;;;;;;;;;;;;;;;;;;
64;Northern Irish Premiership;-0,38;27;19;46;;;;;;;;;;;;;;;;;;;;
65;Norwegian 1st Division;-4,35;16;16;32;;;;;;;;;;;;;;;;;;;;
66;Panama First Division Women;-2,00;0;2;2;;;;;;;;;;;;;;;;;;;;
67;Paraguayan Division Profesional;2,31;15;8;23;;;;;;;;;;;;;;;;;;;;
68;Paraguayan Segunda Divsion;0,02;1;1;2;;;;;;;;;;;;;;;;;;;;
69;Polish I Liga;4,56;29;18;47;;;;;;;;;;;;;;;;;;;;
70;Portuguese Campeonato Nacional;-3,09;36;28;64;;;;;;;;;;;;;;;;;;;;
71;Portuguese Segunda Liga;3,37;50;37;87;;;;;;;;;;;;;;;;;;;;
72;Romania Liga 2;2,56;22;14;36;;;;;;;;;;;;;;;;;;;;
73;Romanian Liga I;-1,23;33;24;57;;;;;;;;;;;;;;;;;;;;
74;Scottish League Two;-3,42;21;20;41;;;;;;;;;;;;;;;;;;;;
75;Scottish Premiership;-1,96;17;14;31;;;;;;;;;;;;;;;;;;;;
76;Singapore S-League;1,29;7;3;10;;;;;;;;;;;;;;;;;;;;
77;Slovakian 2 Liga;-1,91;15;12;27;;;;;;;;;;;;;;;;;;;;
78;Slovakian Super League;-2,47;19;15;34;;;;;;;;;;;;;;;;;;;;
79;Slovenian 2 SNL;0,58;15;9;24;;;;;;;;;;;;;;;;;;;;
80;Slovenian Premier League;-0,53;18;14;32;;;;;;;;;;;;;;;;;;;;
81;South African Premier Division;-0,63;14;12;26;;;;;;;;;;;;;;;;;;;;
82;South Korean K League 1;-1,19;8;8;16;;;;;;;;;;;;;;;;;;;;
83;South Korean K League 2;0,52;7;6;13;;;;;;;;;;;;;;;;;;;;
84;South Korean K3 League;-3,05;6;8;14;;;;;;;;;;;;;;;;;;;;
85;Spanish La Liga;13,68;60;28;88;;;;;;;;;;;;;;;;;;;;
86;Spanish Primera Division RFEF Group 1;8,95;50;31;81;;;;;;;;;;;;;;;;;;;;
87;Spanish Primera Division RFEF Group 2;11,25;57;33;90;;;;;;;;;;;;;;;;;;;;
88;Spanish Primera Nacional Ladies;4,40;9;2;11;;;;;;;;;;;;;;;;;;;;
89;Spanish Segunda Division;9,52;73;49;122;;;;;;;;;;;;;;;;;;;;
90;Swedish Allsvenskan;3,72;20;11;31;;;;;;;;;;;;;;;;;;;;
91;Swiss Challenge League;2,03;24;16;40;;;;;;;;;;;;;;;;;;;;
92;Thai Division 1;5,94;45;25;70;;;;;;;;;;;;;;;;;;;;
93;Thai League 1;-1,57;30;23;53;;;;;;;;;;;;;;;;;;;;
94;Turkish 1 Lig;-2,50;45;35;80;;;;;;;;;;;;;;;;;;;;
95;Turkish Super League;-4,19;56;47;103;;;;;;;;;;;;;;;;;;;;
96;Uruguayan Primera Division;-4,64;9;12;21;;;;;;;;;;;;;;;;;;;;
97;US United Soccer League;-2,52;22;18;40;;;;;;;;;;;;;;;;;;;;
98;US USL League One;-1,00;0;1;1;;;;;;;;;;;;;;;;;;;;
99;Welsh Premiership;0,00;22;16;38;;;;;;;;;;;;;;;;;;;;
